Ad_ID,Campaign_Name,Clicks,Impressions,Impressions per conversion,Cost,Leads,Conversions,Conversion Rate,Cost per conversion,Sale_Amount,Ad_Date,Location,Device,Keyword
A1000,data analytics course,104,4498,642.5714285714286,231.88,14,7,0.058,33.12571428571429,1892.0,2024-11-16,hyderabad,desktop,learn data analytics
A1001,data analytics course,173,5107,638.375,216.84,10,8,0.046,27.105,1679.0,2024-11-20,hyderabad,mobile,data analytics course
A1002,data anlytics corse,90,4544,504.8888888888889,203.66,26,9,0.047,22.628888888888888,1624.0,2024-11-16,hyderabad,desktop,data analitics online
A1003,data analytcis course,142,3185,530.8333333333334,237.66,17,6,0.047,39.61,1225.0,2024-11-26,hyderabad,tablet,data anaytics training
A1004,data analytics corse,156,3361,420.125,195.9,30,8,0.047,24.4875,1091.0,2024-11-22,hyderabad,desktop,online data analytic
A1005,data analytics course,195,3776,472.0,243.57,10,8,0.047,30.44625,1315.0,2024-11-16,hyderabad,mobile,data anaytics training
A1006,data analytics corse,116,4480,896.0,237.79,17,5,0.043,47.558,1640.0,2024-11-06,hyderabad,tablet,data analytics course
A1007,data analytics corse,184,5060,1686.6666666666667,229.61,23,3,0.016,76.53666666666668,1509.0,2024-11-24,hyderbad,tablet,analytics for data
A1008,data analytics corse,113,5434,1358.5,213.9,27,4,0.058,53.475,1362.0,2024-11-24,hyderbad,tablet,data anaytics training
A1009,data analytcis course,166,3355,372.77777777777777,186.78,24,9,0.054,20.753333333333334,1029.0,2024-11-12,hyderbad,mobile,online data analytic
A1010,data analytics course,101,5399,899.8333333333334,236.79,20,6,0.059,39.464999999999996,1900.0,2024-11-14,hyderabad,desktop,learn data analytics
A1011,data analytics corse,101,3613,722.6,208.12,24,5,0.05,41.624,1130.0,2024-11-22,hyderabad,desktop,online data analytic
A1012,data analytcis course,125,3259,1086.3333333333333,191.3,18,3,0.024,63.76666666666667,1959.0,2024-11-27,hydrebad,desktop,data analitics online
A1013,data analytics corse,196,3742,534.5714285714286,207.46,10,7,0.038,29.63714285714286,1623.0,2024-11-12,hyderabad,mobile,data anaytics training
A1014,data analytcis course,181,4311,479.0,185.09,11,9,0.05,20.565555555555555,1538.0,2024-11-04,hyderbad,desktop,data anaytics training
A1015,data analytcis course,102,5461,682.625,201.69,22,8,0.078,25.21125,1755.0,2024-11-29,hyderabad,desktop,data analytics course
A1016,data analytcis course,193,5159,573.2222222222222,213.9,15,9,0.047,23.766666666666666,1614.0,2024-11-10,hydrebad,mobile,learn data analytics
A1017,data anlytics corse,149,4431,492.3333333333333,207.4,19,9,0.06,23.044444444444444,1693.0,2024-11-12,hyderabad,mobile,learn data analytics
A1018,data analytics corse,150,3113,622.6,217.41,20,5,0.047,43.482,1785.0,2024-11-07,hyderabad,mobile,analytics for data
A1019,data analytcis course,145,5278,879.6666666666666,213.9,25,6,0.041,35.65,1516.0,2024-11-05,hyderabad,desktop,data analytics course
A1020,data analytcis course,184,4143,414.3,223.3,10,10,0.044,22.330000000000002,1735.0,2024-11-21,hyderbad,tablet,learn data analytics
