Ad_ID,Campaign_Name,Clicks,Impressions,Impressions per conversion,Cost,Leads,Conversions,Conversion Rate,Cost per conversion,Sale_Amount,Ad_Date,Location,Device,Keyword
A1000,DataAnalyticsCourse,104,4498,642.57,$231.88,14,7,0.058,$33.13,"$1,892",2024-11-16,hyderabad,desktop,learn data analytics
A1001,DataAnalyticsCourse,173,5107,638.38,$216.84,10,8,0.046,$27.11,"$1,679",20-11-2024,hyderabad,mobile,data analytics course
A1002,Data Anlytics Corse,90,4544,504.89,$203.66,26,9,,$22.63,"$1,624",2024/11/16,hyderabad,Desktop,data analitics online
A1003,Data Analytcis Course,142,3185,530.83,$237.66,17,6,,$39.61,"$1,225",2024-11-26,HYDERABAD,tablet,data anaytics training
A1004,Data Analytics Corse,156,3361,420.13,$195.90,30,8,,$24.49,"$1,091",2024-11-22,hyderabad,desktop,online data analytic
A1005,DataAnalyticsCourse,195,3776,472.00,$243.57,10,8,,$30.45,"$1,315",16-11-2024,hyderabad,MOBILE,data anaytics training
A1006,Data Analytics Corse,116,4480,896.00,$237.79,17,5,0.043,$47.56,"$1,640",06-11-2024,hyderabad,TABLET,data analytics course
A1007,Data Analytics Corse,184,5060,1686.67,$229.61,23,3,0.016,$76.54,"$1,509",2024/11/24,Hyderbad,TABLET,analytics for data
A1008,Data Analytics Corse,113,5434,1358.50,,27,4,0.058,,"$1,362",2024/11/24,Hyderbad,Tablet,data anaytics training
A1009,Data Analytcis Course,166,3355,372.78,$186.78,24,9,0.054,$20.75,"$1,029",2024/11/12,Hyderbad,Mobile,online data analytic
A1010,DataAnalyticsCourse,101,5399,899.83,$236.79,20,6,0.059,$39.47,"$1,900",14-11-2024,HYDERABAD,DESKTOP,learn data analytics
A1011,Data Analytics Corse,101,3613,722.60,$208.12,24,5,0.05,$41.62,"$1,130",2024/11/22,hyderabad,Desktop,online data analytic
A1012,Data Analytcis Course,125,3259,1086.33,$191.30,18,3,0.024,$63.77,"$1,959",2024/11/27,hydrebad,DESKTOP,data analitics online
