Ad_ID,Campaign_Name,Clicks,Impressions,Impressions per conversion,Cost,Conversions,Cost per conversion,Leads,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1000,DataAnalyticsCourse,104,4498,642.57,$231.88,7,$33.13,14,0.058,"$1,892",2024-11-16,hyderabad,desktop,learn data analytics
A1001,DataAnalyticsCourse,173,5107,638.38,$216.84,8,$27.11,10,0.046,"$1,679",20-11-2024,hyderabad,mobile,data analytics course
A1002,Data Anlytics Corse,90,4544,504.89,$203.66,9,$22.63,26,,"$1,624",2024/11/16,hyderabad,Desktop,data analitics online
A1003,Data Analytcis Course,142,3185,530.83,$237.66,6,$39.61,17,,"$1,225",2024-11-26,HYDERABAD,tablet,data anaytics training
A1004,Data Analytics Corse,156,3361,420.13,$195.90,8,$24.49,30,,"$1,091",2024-11-22,hyderabad,desktop,online data analytic
A1005,DataAnalyticsCourse,195,3776,472.00,$243.57,8,$30.45,10,,"$1,315",16-11-2024,hyderabad,MOBILE,data anaytics training
A1006,Data Analytics Corse,116,4480,896.00,$237.79,5,$47.56,17,0.043,"$1,640",06-11-2024,hyderabad,TABLET,data analytics course
A1007,Data Analytics Corse,184,5060,1686.67,$229.61,3,$76.54,23,0.016,"$1,509",2024/11/24,Hyderbad,TABLET,analytics for data
A1008,Data Analytics Corse,113,5434,1358.50,,4,0,27,0.058,"$1,362",2024/11/24,Hyderbad,Tablet,data anaytics training
A1009,Data Analytcis Course,166,3355,372.78,$186.78,9,$20.75,24,0.054,"$1,029",2024/11/12,Hyderbad,Mobile,online data analytic
A1010,DataAnalyticsCourse,101,5399,899.83,$236.79,6,$39.47,20,0.059,"$1,900",14-11-2024,HYDERABAD,DESKTOP,learn data analytics
A1011,Data Analytics Corse,101,3613,722.60,$208.12,5,$41.62,24,0.05,"$1,130",2024/11/22,hyderabad,Desktop,online data analytic
A1012,Data Analytcis Course,125,3259,1086.33,$191.30,3,$63.77,18,0.024,"$1,959",2024/11/27,hydrebad,DESKTOP,data analitics online
A1013,Data Analytics Corse,196,3742,534.57,$207.46,7,$29.64,10,0.038,"$1,623",12-11-2024,hyderabad,mobile,data anaytics training
A1014,Data Analytcis Course,181,4311,479.00,$185.09,9,$20.57,11,0.05,"$1,538",2024-11-04,Hyderbad,Desktop,data anaytics training
A1015,Data Analytcis Course,102,5461,682.63,$201.69,8,$25.21,22,0.078,"$1,755",2024-11-29,hyderabad,desktop,data analytics course
A1016,Data Analytcis Course,193,5159,573.22,,9,0,15,0.047,"$1,614",2024-11-10,hydrebad,Mobile,learn data analytics
A1017,Data Anlytics Corse,149,4431,492.33,$207.40,9,$23.04,19,0.06,"$1,693",12-11-2024,HYDERABAD,mobile,learn data analytics
A1018,Data Analytics Corse,150,3113,622.60,$217.41,5,$43.48,20,,"$1,785",2024/11/07,hyderabad,Mobile,analytics for data
A1019,Data Analytcis Course,145,5278,879.67,,6,0,25,0.041,"$1,516",2024-11-05,hyderabad,DESKTOP,data analytics course
A1020,Data Analytcis Course,184,4143,414.30,$223.30,10,$22.33,10,0.044,"$1,735",2024/11/21,Hyderbad,TABLET,learn data analytics
A1021,Data Analytics Corse,171,4154,593.43,$184.23,7,$26.32,30,0.041,"$1,803",2024/11/08,hyderabad,tablet,data analitics online
A1022,Data Analytcis Course,122,5187,864.50,$211.24,6,$35.21,27,0.049,"$1,322",2024-11-20,HYDERABAD,Desktop,online data analytic
A1023,Data Anlytics Corse,188,5798,1159.60,$230.17,5,$46.03,28,0.047,"$1,452",30-11-2024,HYDERABAD,TABLET,data analytics course
A1024,DataAnalyticsCourse,87,3718,1239.33,,3,0,12,0.034,"$1,652",20-11-2024,Hyderbad,tablet,learn data analytics
A1025,DataAnalyticsCourse,88,3349,418.63,$181.92,8,$22.74,22,0.091,"$1,456",2024-11-20,HYDERABAD,Tablet,learn data analytics
A1026,Data Anlytics Corse,119,5323,532.30,$205.92,10,$20.59,17,0.06,"$1,656",2024-11-02,Hyderbad,desktop,online data analytic
A1027,Data Analytics Corse,,5286,528.60,$234.89,10,$23.49,22,,"$1,688",2024-11-21,hyderabad,DESKTOP,data anaytics training
A1028,Data Anlytics Corse,128,5469,1823.00,$188.49,3,$62.83,16,,"$1,783",2024-11-23,Hyderbad,MOBILE,learn data analytics
A1029,Data Analytcis Course,86,3351,372.33,$237.75,9,$26.42,21,0.105,"$1,975",2024/11/13,HYDERABAD,Mobile,analytics for data
A1030,Data Analytics Corse,188,4834,1208.50,$213.58,4,$53.40,15,0.021,"$1,590",2024-11-08,Hyderbad,TABLET,online data analytic
A1031,DataAnalyticsCourse,113,5065,1013.00,$212.37,5,$42.47,11,,"$1,111",22-11-2024,HYDERABAD,Desktop,online data analytic
A1032,Data Analytcis Course,,3872,968.00,$244.38,4,$61.10,20,,"$1,041",12-11-2024,HYDERABAD,tablet,data analitics online
A1033,Data Analytics Corse,176,5509,787.00,$234.59,7,$33.51,19,0.054,"$1,710",2024/11/03,Hyderbad,Tablet,data analytics course
A1034,Data Analytcis Course,121,5610,701.25,$214.96,8,$26.87,23,,,2024-11-25,hyderabad,Mobile,data analytics course
A1035,DataAnalyticsCourse,104,5275,586.11,$236.48,9,$26.28,16,0.031,"$1,824",01-11-2024,HYDERABAD,DESKTOP,data anaytics training
A1036,Data Anlytics Corse,146,5939,742.38,$242.90,8,$30.36,11,0.035,"$1,833",2024-11-07,HYDERABAD,Desktop,data anaytics training
A1037,Data Analytcis Course,123,5131,1026.20,,5,0,19,0.041,"$1,307",09-11-2024,hydrebad,MOBILE,learn data analytics
A1038,Data Analytcis Course,90,5786,964.33,$197.55,6,$32.93,11,0.043,"$1,704",16-11-2024,hyderabad,MOBILE,online data analytic
A1039,Data Analytcis Course,171,4304,430.40,$192.61,10,$19.26,17,0.058,"$1,427",2024-11-26,hydrebad,Mobile,learn data analytics
A1040,Data Analytics Corse,94,5549,616.56,$231.23,9,$25.69,25,0.096,"$1,849",2024/11/12,Hyderbad,mobile,data anaytics training
A1041,Data Analytics Corse,112,4271,711.83,$196.07,6,$32.68,27,,"$1,209",2024-11-14,hyderabad,desktop,data analitics online
A1042,Data Analytcis Course,113,4418,441.80,$191.55,10,$19.16,27,,"$1,634",2024/11/09,Hyderbad,MOBILE,data analytics course
A1043,Data Anlytics Corse,145,3721,531.57,$180.95,7,$25.85,21,0.048,"$1,960",29-11-2024,hydrebad,desktop,data analitics online
A1044,DataAnalyticsCourse,197,5783,963.83,$204.46,6,$34.08,23,,"$1,729",01-11-2024,hydrebad,TABLET,data anaytics training
A1045,DataAnalyticsCourse,109,4866,973.20,$236.78,5,$47.36,27,,"$1,585",15-11-2024,hyderabad,Mobile,online data analytic
A1046,Data Anlytics Corse,188,5857,1464.25,$222.98,4,$55.75,20,0.048,"$1,303",11-11-2024,HYDERABAD,desktop,data anaytics training
A1047,Data Analytics Corse,142,5103,1701.00,$234.10,3,$78.03,24,0.021,"$1,835",2024-11-08,Hyderbad,mobile,analytics for data
A1048,Data Analytcis Course,168,4653,517.00,$240.84,9,$26.76,27,0.054,"$1,367",2024-11-24,hydrebad,Mobile,online data analytic
A1049,Data Analytcis Course,110,3524,352.40,$248.86,10,$24.89,19,0.091,"$1,524",21-11-2024,Hyderbad,MOBILE,learn data analytics
A1050,Data Analytcis Course,192,5938,1187.60,$182.84,5,$36.57,26,0.039,"$1,080",2024/11/12,hydrebad,MOBILE,analytics for data
A1051,Data Analytics Corse,101,3942,788.40,$206.62,5,$41.32,16,0.05,"$1,746",2024-11-24,HYDERABAD,Tablet,analytics for data
A1052,Data Analytics Corse,157,3315,331.50,$189.56,10,$18.96,15,0.064,"$1,026",2024-11-25,HYDERABAD,MOBILE,online data analytic
A1053,Data Anlytics Corse,113,4945,494.50,$187.66,10,$18.77,15,,"$1,564",2024/11/26,HYDERABAD,TABLET,learn data analytics
A1054,Data Analytcis Course,96,3166,452.29,$196.15,7,$28.02,29,0.073,"$1,902",26-11-2024,hyderabad,Desktop,learn data analytics
A1055,Data Analytcis Course,125,4223,703.83,$183.68,6,$30.61,15,,"$1,267",2024-11-05,HYDERABAD,DESKTOP,data analitics online
A1056,Data Analytcis Course,104,4798,1599.33,$210.10,3,$70.03,18,,"$1,340",21-11-2024,hyderabad,desktop,analytics for data
A1057,Data Anlytics Corse,194,5655,942.50,$208.58,6,$34.76,13,0.031,"$1,692",2024-11-16,hydrebad,mobile,data anaytics training
A1058,DataAnalyticsCourse,144,5140,642.50,$219.48,8,$27.44,19,0.047,"$1,054",18-11-2024,Hyderbad,desktop,data analitics online
A1059,Data Analytics Corse,179,3025,1008.33,$238.81,3,$79.60,17,0.017,,2024-11-11,HYDERABAD,mobile,data analitics online
A1060,Data Analytics Corse,166,5223,746.14,$189.76,7,$27.11,18,0.042,"$1,219",16-11-2024,Hyderbad,Tablet,data analytics course
A1061,Data Analytcis Course,166,5089,727.00,,7,0,26,0.042,"$1,946",11-11-2024,Hyderbad,tablet,analytics for data
A1062,Data Anlytics Corse,118,5016,557.33,$204.31,9,$22.70,19,0.045,"$1,833",2024/11/08,hyderabad,Desktop,analytics for data
A1063,DataAnalyticsCourse,185,3617,516.71,$222.32,7,$31.76,24,0.038,"$1,963",23-11-2024,hyderabad,Mobile,data analytics course
A1064,Data Analytcis Course,116,3764,376.40,$232.03,10,$23.20,28,0.086,"$1,348",2024/11/20,hyderabad,Tablet,data analytics course
A1065,Data Analytics Corse,99,4489,748.17,$183.73,6,$30.62,15,0.061,"$1,264",2024-11-05,HYDERABAD,desktop,online data analytic
A1066,DataAnalyticsCourse,172,4441,555.13,$221.18,8,$27.65,14,0.047,"$1,771",27-11-2024,hyderabad,mobile,analytics for data
A1067,Data Analytcis Course,138,5751,639.00,$199.11,9,$22.12,26,0.052,"$1,337",2024-11-10,Hyderbad,desktop,data analitics online
A1068,Data Analytcis Course,84,4036,403.60,$234.22,10,$23.42,23,0.119,"$1,287",04-11-2024,Hyderbad,Desktop,learn data analytics
A1069,DataAnalyticsCourse,124,4942,1647.33,$240.59,3,$80.20,18,0.024,"$1,922",2024-11-16,hydrebad,DESKTOP,learn data analytics
A1070,Data Analytcis Course,122,4989,997.80,$215.48,5,$43.10,12,0.041,"$1,975",2024/11/06,hyderabad,MOBILE,data analitics online
A1071,Data Analytics Corse,180,3006,429.43,$228.14,7,$32.59,22,0.039,"$1,556",2024-11-04,HYDERABAD,TABLET,learn data analytics
A1072,DataAnalyticsCourse,133,3728,372.80,$199.13,10,$19.91,11,,,2024-11-09,HYDERABAD,Desktop,data analitics online
A1073,DataAnalyticsCourse,164,3734,466.75,$225.39,8,$28.17,27,0.04,"$1,728",12-11-2024,HYDERABAD,tablet,learn data analytics
A1074,Data Analytics Corse,150,4621,770.17,$246.30,6,$41.05,15,0.049,"$1,554",2024-11-09,hyderabad,Desktop,data analitics online
A1075,Data Analytcis Course,97,3212,321.20,$212.55,10,$21.26,27,0.103,"$1,994",23-11-2024,HYDERABAD,DESKTOP,analytics for data
A1076,Data Anlytics Corse,128,4225,1056.25,$228.24,4,$57.06,30,0.031,"$1,618",2024/11/08,Hyderbad,mobile,learn data analytics
